date,sensor,bugs,LfAirDelta_mean,SWdw_mean,meanT_mean,prate_mean,deer,NDVI
197,1C,2.6475710492818925,4.0628375000000005,12.599183254545453,25.90258181818182,2.142332272727273,2.0,-0.04088195527821114
197,2C,2.931250346516017,4.0628375000000005,12.599183254545453,25.90258181818182,2.142332272727273,2.0,0.2869711662899246
197,3C,2.0917915210966416,4.0628375000000005,12.599183254545453,25.90258181818182,2.142332272727273,0.0,0.41967691318579575
197,4C,1.1424903870502934,4.0628375000000005,12.599183254545453,25.90258181818182,2.142332272727273,0.0,0.4925117634773208
197,5C,2.0973849643582128,4.0628375000000005,12.599183254545453,25.90258181818182,2.142332272727273,0.0,0.3766145368608624
197,6C,1.9065653840377463,4.0628375000000005,12.599183254545453,25.90258181818182,2.142332272727273,0.0,0.5097691720161154
197,7C,2.8547868050324774,4.0628375000000005,12.599183254545453,25.90258181818182,2.142332272727273,0.0,-0.6676227849254538
197,8C,2.6215605193727103,4.0628375000000005,12.599183254545453,25.90258181818182,2.142332272727273,0.0,-0.4343046757164405
175,1C,2.255187296658045,,,,,60.0,-0.07876205617382089
175,2C,1.9160937721731552,,,,,60.0,-0.01842576954163797
175,3C,2.3850101922785334,,,,,1.0,0.2776343943059247
175,4C,2.154285971336161,,,,,1.0,0.2321960631187266
175,5C,2.0787157269778405,,,,,3.0,0.14579578518665565
175,6C,2.5368815551697805,,,,,3.0,0.07092093210997782
175,7C,2.0669324951032952,,,,,9.0,-0.19455127704985964
175,8C,-0.0,,,,,9.0,-0.18954526378178768
171,1C,,,,,,6.0,-0.19613631641318488
171,2C,,,,,,6.0,-0.15172502439325727
171,3C,,,,,,5.0,0.212948953122732
171,4C,,,,,,5.0,0.2642099372978277
171,5C,,,,,,2.0,0.20529199156754946
171,6C,,,,,,2.0,0.1890551984194054
171,7C,,,,,,1.0,-0.08426125214678476
171,8C,,,,,,1.0,-0.20061854058528653
189,1C,2.217430933927656,4.573161111111111,20.06295722222222,25.56885,1.2505551666666668,8.0,-0.033452276393783606
189,2C,2.4096425570335884,4.573161111111111,20.06295722222222,25.56885,1.2505551666666668,8.0,0.2446963810085163
189,3C,1.8347689131978662,4.573161111111111,20.06295722222222,25.56885,1.2505551666666668,1.0,0.42788589954059697
189,4C,2.5780185141381065,4.573161111111111,20.06295722222222,25.56885,1.2505551666666668,1.0,0.4032397366813168
189,5C,2.142071546650039,4.573161111111111,20.06295722222222,25.56885,1.2505551666666668,0.0,0.3586795533823137
189,6C,2.671477571856984,4.573161111111111,20.06295722222222,25.56885,1.2505551666666668,0.0,0.425539513964268
189,7C,2.3499904241895275,4.573161111111111,20.06295722222222,25.56885,1.2505551666666668,1.0,-0.6658597827620257
189,8C,2.9676569240157304,4.573161111111111,20.06295722222222,25.56885,1.2505551666666668,1.0,-0.4563095758325073
203,1C,1.8959587861077931,5.551942857142857,15.08935858,26.738,4.7143642,5.0,0.0206854276729945
203,2C,2.471365850200548,5.551942857142857,15.08935858,26.738,4.7143642,5.0,0.2773906025357165
203,3C,2.546116528723703,5.551942857142857,15.08935858,26.738,4.7143642,2.0,0.4839481224029815
203,4C,1.8003160881605755,5.551942857142857,15.08935858,26.738,4.7143642,2.0,0.5743142159928387
203,5C,1.1490596969706204,5.551942857142857,15.08935858,26.738,4.7143642,2.0,0.3869270817546661
203,6C,2.669379794450857,5.551942857142857,15.08935858,26.738,4.7143642,2.0,0.5559612582897238
203,7C,2.435040163069225,5.551942857142857,15.08935858,26.738,4.7143642,2.0,-0.5330167754834275
203,8C,2.492983223151436,5.551942857142857,15.08935858,26.738,4.7143642,2.0,-0.4393795287443242
